WARN  - 2017-11-24 13:44:10.756; org.apache.solr.core.SolrCore; [collection1] Solr index directory 'C:\workFile\soft\solr\solr-4.4.0\example\solr\collection1\data\index' doesn't exist. Creating new index...
INFO  - 2017-11-24 13:44:10.765; org.apache.solr.core.CachingDirectoryFactory; return new directory for C:\workFile\soft\solr\solr-4.4.0\example\solr\collection1\data\index
INFO  - 2017-11-24 13:44:11.063; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onCommit: commits: num=1
	commit{dir=NRTCachingDirectory(org.apache.lucene.store.MMapDirectory@C:\workFile\soft\solr\solr-4.4.0\example\solr\collection1\data\index lockFactory=org.apache.lucene.store.NativeFSLockFactory@6e4f89e1; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2017-11-24 13:44:11.065; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2017-11-24 13:44:11.070; org.apache.solr.core.SolrCore; created json: solr.JSONResponseWriter
INFO  - 2017-11-24 13:44:11.072; org.apache.solr.core.SolrCore; adding lazy queryResponseWriter: solr.VelocityResponseWriter
INFO  - 2017-11-24 13:44:11.075; org.apache.solr.core.SolrCore; created velocity: solr.VelocityResponseWriter
INFO  - 2017-11-24 13:44:11.084; org.apache.solr.core.SolrCore; created xslt: solr.XSLTResponseWriter
INFO  - 2017-11-24 13:44:11.086; org.apache.solr.response.XSLTResponseWriter; xsltCacheLifetimeSeconds=5
INFO  - 2017-11-24 13:44:11.137; org.apache.solr.core.RequestHandlers; created /select: solr.SearchHandler
INFO  - 2017-11-24 13:44:11.139; org.apache.solr.core.RequestHandlers; created /query: solr.SearchHandler
INFO  - 2017-11-24 13:44:11.142; org.apache.solr.core.RequestHandlers; created /get: solr.RealTimeGetHandler
INFO  - 2017-11-24 13:44:11.143; org.apache.solr.core.RequestHandlers; created /browse: solr.SearchHandler
INFO  - 2017-11-24 13:44:11.147; org.apache.solr.core.RequestHandlers; created /update: solr.UpdateRequestHandler
INFO  - 2017-11-24 13:44:11.150; org.apache.solr.core.RequestHandlers; created /update/json: solr.JsonUpdateRequestHandler
INFO  - 2017-11-24 13:44:11.153; org.apache.solr.core.RequestHandlers; created /update/csv: solr.CSVRequestHandler
INFO  - 2017-11-24 13:44:11.154; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.extraction.ExtractingRequestHandler
INFO  - 2017-11-24 13:44:11.157; org.apache.solr.core.RequestHandlers; created /update/extract: solr.extraction.ExtractingRequestHandler
INFO  - 2017-11-24 13:44:11.159; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.FieldAnalysisRequestHandler
INFO  - 2017-11-24 13:44:11.161; org.apache.solr.core.RequestHandlers; created /analysis/field: solr.FieldAnalysisRequestHandler
INFO  - 2017-11-24 13:44:11.163; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.DocumentAnalysisRequestHandler
INFO  - 2017-11-24 13:44:11.166; org.apache.solr.core.RequestHandlers; created /analysis/document: solr.DocumentAnalysisRequestHandler
INFO  - 2017-11-24 13:44:11.174; org.apache.solr.core.RequestHandlers; created /admin/: solr.admin.AdminHandlers
INFO  - 2017-11-24 13:44:11.177; org.apache.solr.core.RequestHandlers; created /admin/ping: solr.PingRequestHandler
INFO  - 2017-11-24 13:44:11.181; org.apache.solr.core.RequestHandlers; created /debug/dump: solr.DumpRequestHandler
INFO  - 2017-11-24 13:44:11.191; org.apache.solr.core.RequestHandlers; created /replication: solr.ReplicationHandler
INFO  - 2017-11-24 13:44:11.193; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2017-11-24 13:44:11.195; org.apache.solr.core.RequestHandlers; created /spell: solr.SearchHandler
INFO  - 2017-11-24 13:44:11.200; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2017-11-24 13:44:11.205; org.apache.solr.core.RequestHandlers; created /tvrh: solr.SearchHandler
INFO  - 2017-11-24 13:44:11.209; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2017-11-24 13:44:11.213; org.apache.solr.core.RequestHandlers; created /terms: solr.SearchHandler
INFO  - 2017-11-24 13:44:11.217; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2017-11-24 13:44:11.222; org.apache.solr.core.RequestHandlers; created /elevate: solr.SearchHandler
INFO  - 2017-11-24 13:44:11.267; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2017-11-24 13:44:11.271; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2017-11-24 13:44:11.273; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2017-11-24 13:44:11.302; org.apache.solr.search.SolrIndexSearcher; Opening Searcher@3f592f36 main
INFO  - 2017-11-24 13:44:11.316; org.apache.solr.update.CommitTracker; Hard AutoCommit: if uncommited for 15000ms; 
INFO  - 2017-11-24 13:44:11.337; org.apache.solr.update.CommitTracker; Soft AutoCommit: disabled
INFO  - 2017-11-24 13:44:11.340; org.apache.solr.handler.component.SpellCheckComponent; Initializing spell checkers
